VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,1730,256.98992919921875,14.850600242614746,40.83134078979492,1.0,0.2,0.01568627450980392,0.06274509803921569,0.0,1.0,0.0,1.0,0.0,1.0
1,1731,256.9899597167969,2.386460781097412,40.831329345703125,1.0,0.2,0.01568627450980392,0.06274509803921569,1.0,1.0,1.0,1.0,1.0,1.0
2,1732,256.1373596191406,2.468306541442871,40.07585144042969,1.0,0.2,0.01568627450980392,0.06274509803921569,1.0,0.0,1.0,0.0,1.0,0.0
3,1730,256.98992919921875,14.850600242614746,40.83134078979492,1.0,0.2,0.01568627450980392,0.06274509803921569,0.0,1.0,0.0,1.0,0.0,1.0
4,1732,256.1373596191406,2.468306541442871,40.07585144042969,1.0,0.2,0.01568627450980392,0.06274509803921569,1.0,0.0,1.0,0.0,1.0,0.0
5,1733,256.1373291015625,14.932446479797363,40.075862884521484,1.0,0.2,0.01568627450980392,0.06274509803921569,0.0,0.0,0.0,0.0,0.0,0.0
6,1734,254.8656768798828,15.137269973754883,40.687618255615234,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,0.0,1.0,0.0,1.0,0.0,1.0
7,1735,254.86566162109375,2.3061676025390625,40.687625885009766,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,1.0,1.0,1.0,1.0,1.0,1.0
8,1736,253.43707275390625,2.4383764266967773,39.41592025756836,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,1.0,0.0,1.0,0.0,1.0,0.0
9,1734,254.8656768798828,15.137269973754883,40.687618255615234,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,0.0,1.0,0.0,1.0,0.0,1.0
10,1736,253.43707275390625,2.4383764266967773,39.41592025756836,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,1.0,0.0,1.0,0.0,1.0,0.0
11,1737,253.4370880126953,15.269477844238281,39.41591262817383,1.0,0.4470588235294118,0.07450980392156863,0.3764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
12,1738,256.4138488769531,13.814024925231934,40.61593246459961,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,0.0,1.0,0.0,1.0,0.0,1.0
13,1739,256.4138488769531,2.5657718181610107,40.61592483520508,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,1.0,1.0,1.0,1.0,1.0,1.0
14,1740,255.46441650390625,2.65592360496521,39.77347183227539,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,1.0,0.0,1.0,0.0,1.0,0.0
15,1738,256.4138488769531,13.814024925231934,40.61593246459961,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,0.0,1.0,0.0,1.0,0.0,1.0
16,1740,255.46441650390625,2.65592360496521,39.77347183227539,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,1.0,0.0,1.0,0.0,1.0,0.0
17,1741,255.46441650390625,13.904175758361816,39.77347946166992,1.0,0.17254901960784313,0.01568627450980392,0.25882352941176473,0.0,0.0,0.0,0.0,0.0,0.0
18,1742,255.50698852539062,13.674667358398438,39.32590103149414,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,0.0,1.0,0.0,1.0,0.0,1.0
19,1743,255.5070037841797,2.5741546154022217,39.32588577270508,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,1.0,1.0,1.0,1.0,1.0,1.0
20,1744,254.2311248779297,2.6918108463287354,38.189632415771484,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,1.0,0.0,1.0,0.0,1.0,0.0
21,1742,255.50698852539062,13.674667358398438,39.32590103149414,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,0.0,1.0,0.0,1.0,0.0,1.0
22,1744,254.2311248779297,2.6918108463287354,38.189632415771484,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,1.0,0.0,1.0,0.0,1.0,0.0
23,1745,254.23110961914062,13.79232406616211,38.18964767456055,1.0,0.34509803921568627,0.054901960784313725,0.4235294117647059,0.0,0.0,0.0,0.0,0.0,0.0
24,1746,256.57769775390625,15.900994300842285,40.65055847167969,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,0.0,1.0,0.0,1.0,0.0,1.0
25,1747,256.57769775390625,2.1900486946105957,40.65055465698242,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,1.0,1.0,1.0,1.0,1.0,1.0
26,1748,255.47430419921875,2.2949066162109375,39.67159652709961,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,1.0,0.0,1.0,0.0,1.0,0.0
27,1746,256.57769775390625,15.900994300842285,40.65055847167969,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,0.0,1.0,0.0,1.0,0.0,1.0
28,1748,255.47430419921875,2.2949066162109375,39.67159652709961,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,1.0,0.0,1.0,0.0,1.0,0.0
29,1749,255.47430419921875,16.00585174560547,39.671600341796875,1.0,0.3333333333333333,0.06666666666666667,0.5529411764705883,0.0,0.0,0.0,0.0,0.0,0.0
30,1750,256.3919372558594,12.878210067749023,40.59392166137695,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,0.0,1.0,0.0,1.0,0.0,1.0
31,1751,256.3919677734375,2.737783908843994,40.59391403198242,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,1.0,1.0,1.0,1.0,1.0,1.0
32,1752,255.54283142089844,2.818462371826172,39.84050369262695,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,1.0,0.0,1.0,0.0,1.0,0.0
33,1750,256.3919372558594,12.878210067749023,40.59392166137695,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,0.0,1.0,0.0,1.0,0.0,1.0
34,1752,255.54283142089844,2.818462371826172,39.84050369262695,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,1.0,0.0,1.0,0.0,1.0,0.0
35,1753,255.5428009033203,12.95888900756836,39.840511322021484,1.0,0.4745098039215686,0.10588235294117647,0.611764705882353,0.0,0.0,0.0,0.0,0.0,0.0
