VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,2104,145.68553161621094,-44.98041915893555,68.21526336669922,-0.9340866804122925,1.9359455444983853e-12,0.0,1.0,1.0,0.2980392156862745,0.058823529411764705,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1,2105,145.68540954589844,-44.95307922363281,68.21527099609375,0.4173785448074341,29.97417640686035,2.1640364167296866e-08,0.35650768876075745,1.0,0.2980392156862745,0.058823529411764705,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2106,145.6902313232422,-44.953041076660156,68.22012329101562,1.9359455444983853e-12,1.0,1.0,38.1072883605957,1.0,0.2980392156862745,0.058823529411764705,1.0,1.0,0.0,1.0,0.0,1.0,0.0
3,2104,145.68553161621094,-44.98041915893555,68.21526336669922,-0.9340866804122925,1.9359455444983853e-12,0.0,1.0,1.0,0.2980392156862745,0.058823529411764705,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4,2106,145.6902313232422,-44.953041076660156,68.22012329101562,1.9359455444983853e-12,1.0,1.0,38.1072883605957,1.0,0.2980392156862745,0.058823529411764705,1.0,1.0,0.0,1.0,0.0,1.0,0.0
5,2107,145.6903533935547,-44.98038101196289,68.2201156616211,31.674816131591797,8.089415359791019e-09,0.5328764319419861,-0.8461930751800537,1.0,0.2980392156862745,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2108,145.7765350341797,-49.765655517578125,71.28968048095703,0.5,0.5,35.403953552246094,1.2864078283309937,1.0,0.32941176470588235,0.06274509803921569,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7,2109,145.7764892578125,-49.74671173095703,71.2895278930664,-2.983125924060914e-08,0.5328764319419861,-0.8461930751800537,nan,1.0,0.32941176470588235,0.06274509803921569,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2110,145.77978515625,-49.746673583984375,71.29288482666016,0.5,36.25410842895508,2.541130542755127,31.674816131591797,1.0,0.32941176470588235,0.06274509803921569,1.0,1.0,0.0,1.0,0.0,1.0,0.0
9,2108,145.7765350341797,-49.765655517578125,71.28968048095703,0.5,0.5,35.403953552246094,1.2864078283309937,1.0,0.32941176470588235,0.06274509803921569,1.0,0.0,1.0,0.0,1.0,0.0,1.0
10,2110,145.77978515625,-49.746673583984375,71.29288482666016,0.5,36.25410842895508,2.541130542755127,31.674816131591797,1.0,0.32941176470588235,0.06274509803921569,1.0,1.0,0.0,1.0,0.0,1.0,0.0
11,2111,145.7798309326172,-49.76561737060547,71.29303741455078,0.5328764319419861,-0.8461930751800537,nan,0.5,1.0,0.32941176470588235,0.06274509803921569,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2112,149.4944305419922,-41.28556823730469,69.8333511352539,37.73689270019531,1.8217343091964722,31.22178840637207,-2.983125924060914e-08,1.0,0.17254901960784313,0.050980392156862744,1.0,0.0,1.0,0.0,1.0,0.0,1.0
13,2113,149.49404907226562,-41.26314163208008,69.8332748413086,-0.8461930751800537,nan,0.25,0.5,1.0,0.17254901960784313,0.050980392156862744,1.0,1.0,1.0,1.0,1.0,1.0,1.0
