VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TEXCOORD0.x,in_TEXCOORD0.y
0,9,-4.000000476837158,-1.1102230246251565e-16,5.0,0.9000000357627869,0.0
1,21,-5.0,-8.88178432935015e-17,4.0,1.0,0.10000000149011612
2,10,-5.0,-1.1102230246251565e-16,5.0,1.0,0.0
3,9,-4.000000476837158,-1.1102230246251565e-16,5.0,0.9000000357627869,0.0
4,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
5,21,-5.0,-8.88178432935015e-17,4.0,1.0,0.10000000149011612
6,8,-3.0,-1.1102230246251565e-16,5.0,0.800000011920929,0.0
7,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
8,9,-4.000000476837158,-1.1102230246251565e-16,5.0,0.9000000357627869,0.0
9,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
10,32,-5.0,-6.661338412448735e-17,3.0,1.0,0.20000000298023224
11,21,-5.0,-8.88178432935015e-17,4.0,1.0,0.10000000149011612
12,8,-3.0,-1.1102230246251565e-16,5.0,0.800000011920929,0.0
13,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
14,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
15,7,-1.9999998807907104,-1.1102230246251565e-16,5.0,0.699999988079071,0.0
16,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
17,8,-3.0,-1.1102230246251565e-16,5.0,0.800000011920929,0.0
18,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
19,31,-4.000000476837158,-6.661338412448735e-17,3.0,0.9000000357627869,0.20000000298023224
20,32,-5.0,-6.661338412448735e-17,3.0,1.0,0.20000000298023224
21,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
22,31,-4.000000476837158,-6.661338412448735e-17,3.0,0.9000000357627869,0.20000000298023224
23,20,-4.000000476837158,-8.88178432935015e-17,4.0,0.9000000357627869,0.10000000149011612
24,31,-4.000000476837158,-6.661338412448735e-17,3.0,0.9000000357627869,0.20000000298023224
25,43,-5.0,-4.44089183380283e-17,1.9999998807907104,1.0,0.30000001192092896
26,32,-5.0,-6.661338412448735e-17,3.0,1.0,0.20000000298023224
27,7,-1.9999998807907104,-1.1102230246251565e-16,5.0,0.699999988079071,0.0
28,18,-1.9999998807907104,-8.88178432935015e-17,4.0,0.699999988079071,0.10000000149011612
29,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
30,6,-1.000000238418579,-1.1102230246251565e-16,5.0,0.6000000238418579,0.0
31,18,-1.9999998807907104,-8.88178432935015e-17,4.0,0.699999988079071,0.10000000149011612
32,7,-1.9999998807907104,-1.1102230246251565e-16,5.0,0.699999988079071,0.0
33,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
34,30,-3.0,-6.661338412448735e-17,3.0,0.800000011920929,0.20000000298023224
35,31,-4.000000476837158,-6.661338412448735e-17,3.0,0.9000000357627869,0.20000000298023224
36,18,-1.9999998807907104,-8.88178432935015e-17,4.0,0.699999988079071,0.10000000149011612
37,30,-3.0,-6.661338412448735e-17,3.0,0.800000011920929,0.20000000298023224
38,19,-3.0,-8.88178432935015e-17,4.0,0.800000011920929,0.10000000149011612
39,31,-4.000000476837158,-6.661338412448735e-17,3.0,0.9000000357627869,0.20000000298023224
40,42,-4.000000476837158,-4.44089183380283e-17,1.9999998807907104,0.9000000357627869,0.30000001192092896
41,43,-5.0,-4.44089183380283e-17,1.9999998807907104,1.0,0.30000001192092896
42,30,-3.0,-6.661338412448735e-17,3.0,0.800000011920929,0.20000000298023224
